Part Number;Req numero;Req status;Req data;qtd;Valor unitario;IGPM acumulado
DCN3-1407;SP2192366A1;Recebida no Solicitante;2002-08;10;49,75;3,34427339
DCN3-1407;SP2109363A1;Recebida no Solicitante;2002-04;10;15,89;3,51027543
DCN3-1407;SP1095342A1;Recebida no Solicitante;2001-04;42;15,89;3,83977647
DCN4-843;RF2158019F3;Recebida no Solicitante;2002-06;20;26,34;3,46199281
DCN3-8270;LS2119755SS;Recebida no Solicitante;2002-05;500;4,50;3,49072735
DCN4-5873;SP1096324A1;Recebida no Solicitante;2001-04;1;320,00;3,83977647
DCN4-1507-2;CM9112002F3;Recebida no Solicitante;1999-04;5000;0,23;4,78642505
DCN4-4804;RFC139028F3;Recebida no Solicitante;2009-05;30;9,90;1,87330567
DCN4-4804;RF2287042F3;Recebida no Solicitante;2002-10;26;2,10;3,19184126
DCN4-10717;AF6210002CF;Recebida no Solicitante;2006-07;100;13,40;2,24533539
DCN4-4075;RF5125003R1;Recebida no Solicitante;2005-05;200;0,52;2,24990278
DCN4-4075;LS1271942T9;Recebida no Solicitante;2001-09;200;0,05;3,62825242
DCN4-4075;RF1249009F3;Recebida no Solicitante;2001-09;500;0,06;3,62825242
DCN4-4075;SP1081341A1;Recebida no Solicitante;2001-03;55;0,10;3,86127922
DCN4-4075;LS0400942T9;Recebida no Solicitante;2000-09;180;0,04;3,99074858
DCN4-4075;LS0096504T9;Recebida no Solicitante;2000-05;60;0,10;4,19853227
DCN4-2459;LSA107071U2;Recebida no Solicitante;2007-04;300;6,50;2,16849530
DCN4-2459;LS5067118T9;Recebida no Solicitante;2005-03;200;5,05;2,28854059
DCN4-2629;RF1332001F3;Recebida no Solicitante;2001-11;200;0,15;3,57485630
DCN3-10116;AF1186078H6;Recebida no Solicitante;2001-07;100;0,00;3,73276148
DCN3-10116;LS0246005CF;Recebida no Solicitante;2000-08;100;35,00;4,08612747
DCN3-10116;AF0192962H6;Recebida no Solicitante;2000-07;100;38,80;4,15027967
DCN4-5245;SP1081376A1;Recebida no Solicitante;2001-03;7;14,20;3,86127922
DCN4-5110;RFD076141R1;Recebida no Solicitante;2010-03;300;0,04;1,85191968
DCN4-5110;LSD075066U8;Recebida no Solicitante;2010-03;1000;0,04;1,85191968
DCN4-5110;LSC316120T1;Recebida no Solicitante;2009-11;2000;0,04;1,88255527
DCN4-5110;RFB295089R1;Recebida no Solicitante;2008-10;300;0,12;1,87612247
DCN4-5110;SPB227106F5;Recebida no Solicitante;2008-08;5000;44,00;1,87217600
DCN4-5110;AFB191130A7;Recebida no Solicitante;2008-07;2000;0,09;1,90512630
DCN4-5110;LSB028426T1;Recebida no Solicitante;2008-01;3600;0,09;2,03501399
DCN4-5110;LSA325005T2;Recebida no Solicitante;2007-11;1000;0,10;2,08511896
DCN4-5110;RFA124039F3;Recebida no Solicitante;2007-05;1000;17,00;2,16762825
DCN4-5110;LS5053801T1;Recebida no Solicitante;2005-02;1000;0,02;2,29540621
DCN4-5110;SP4215301F5;Recebida no Solicitante;2004-08;5000;0,06;2,39464850
DCN4-5110;LS4147183T9;Recebida no Solicitante;2004-05;800;0,06;2,49171686
DCN4-5110;LS4096477T1;Recebida no Solicitante;2004-04;6000;0,09;2,52186664
DCN4-5110;LS4058445T9;Recebida no Solicitante;2004-02;6200;0,16;2,56796124
DCN4-5110;RF2287088F3;Recebida no Solicitante;2002-10;360;0,26;3,19184126
DCN4-5110;SP1313345F5;Recebida no Solicitante;2001-11;4000;0,02;3,57485630
DCN4-5110;SP1081368A1;Recebida no Solicitante;2001-03;6000;0,02;3,86127922
DCN4-5110;RF0241009F3;Recebida no Solicitante;2000-08;16000;10,29;4,08612747
DCN4-1640;SPC308008F5;Recebida no Solicitante;2009-11;30;375,00;1,88255527
DCN4-1640;SP2081318F5;Recebida no Solicitante;2002-04;15;26,00;3,51027543
DCN4-1723;LSC075011T9;Recebida no Solicitante;2009-03;100;2,20;1,85665404
DCN4-7026;AFD132041A7;Recebida no Solicitante;2010-05;500;24,00;1,82065471
DCN4-7026;AFC308095GA;Recebida no Solicitante;2009-11;100;40,00;1,88255527
DCN4-7026;AF4317001A7;Recebida no Solicitante;2004-11;300;0,00;2,34044611
DCN4-7026;AF3126647S2;Recebida no Solicitante;2003-05;400;39,60;2,62556800
DCN4-7026;AF9093081GA;Recebida no Solicitante;1999-04;0;12,46;4,78642505
DCN4-2339;RF4208007T1;Recebida no Solicitante;2004-07;100;5,55;2,42601839
DCN4-008;LS4138017T1;Recebida no Solicitante;2004-05;100;7,95;2,49171686
DCN4-3568;LSA107078U8;Recebida no Solicitante;2007-04;305;1,43;2,16849530
DCN4-3568;LS5053339T9;Recebida no Solicitante;2005-02;100;2,87;2,29540621
DCN4-3568;SP2109320A1;Recebida no Solicitante;2002-04;100;0,18;3,51027543
DCN4-3568;AF2102643S2;Recebida no Solicitante;2002-04;50;1,90;3,51027543
DCN4-3568;RF2050006F3;Recebida no Solicitante;2002-02;500;0,46;3,51554274
DCN4-3568;BE1233006U8;Recebida no Solicitante;2001-08;100;0,25;3,67832231
DCN4-3568;AF1199028S2;Recebida no Solicitante;2001-07;36;0,00;3,73276148
DCN4-3568;SP1081328A1;Recebida no Solicitante;2001-03;60;0,16;3,86127922
