                    ;              ;Nº Requisição     ;       ;                        ;                      ;           ;                                                                                                    ;        ;   ;  ;            ;               ;             ;                            ;                     ;                                   ;                                   ;Data Status     ;                                   ;Data Status     ;Duração;(Dia);   Valor Unitário;     ;      Qtde;     ;      Valor Total;   Valor Unitário;     ;      Qtde;     ;      Valor Total;      Qtde;     ;   Estoque;   Estoque;   Consumo;   Consumo;         ;         ;         ;         ;                              ;Dígito   ;                          ;                            ;          ;Data da   ;Prazo de  ;          ;                           ;          ;       ;         ;          ;                      ;              ;              ;Volume ;             ;                                 ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                                                                         ;    ;                              
Nº Plano            ;Nº Requisição ;Consolidada/Origem;Projeto;PN                      ;PN Nacionalizado      ;CFF        ;Nomenclatura                                                                                        ;SN      ;CAT;ND;Classe      ;NIIN           ;Órg.Provedor ;Tipo de Plano               ;Data Plano/Requisição;Status Plano                       ;Status Requisição                  ;Requisição      ;Status Reparável                   ;Reparável       ;Parcial;Total;            Plano;Moeda;     Plano;UF   ;            Plano;       Requisição;Moeda;Requisição;UF   ;       Requisição;  Recebida;UE   ;na Unidade;    na FAB;  Últ. 12m;  Últ. 24m;Aplicação;Inspeção ;Aquisição;Contrato?;Número Contrato               ;CASE/Line;Priority                  ;NMCS                        ;OM Destino;Interação ;Entrega   ;DPE       ;Prioridade                 ;Recotações;Nº Mapa;Nº OC/PO ;Fornecedor;Observação Fornecedor ;Nº Embarque   ;Volume Lógico ;Físico ;Nº NL CAB    ;Motivo Cancelamento              ;Descrição                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Comentário                                                                                                                                                                                                                                                                                               ;Ação;Atendimento                   
--------------------;--------------;------------------;-------;------------------------;----------------------;-----------;----------------------------------------------------------------------------------------------------;--------;---;--;------------;---------------;-------------;----------------------------;---------------------;-----------------------------------;-----------------------------------;----------------;-----------------------------------;----------------;-------;-----;-----------------;-----;----------;-----;-----------------;-----------------;-----;----------;-----;-----------------;----------;-----;----------;----------;----------;----------;---------;---------;---------;---------;------------------------------;---------;--------------------------;----------------------------;----------;----------;----------;----------;---------------------------;----------;-------;---------;----------;----------------------;--------------;--------------;-------;-------------;---------------------------------;--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;----;------------------------------
"""30421000001043""";LSO071007T9   ;                  ;T9     ;DCN4-11069-1-7          ;DCN4-11069-1-7        ;002FK      ;PINO DE AÇO, APLICADO ANTI-SHIMMY                                                                   ;        ;C  ;30;"""1620"""  ;FA0999959      ;CAE          ;Material                    ;12/03/2021 15:41     ;Autorizado                         ;Validada                           ;12/03/2021 15:41;                                   ;                ;      0;   17;           106,70;R$   ;        38;EA   ;          4054,75;           106,70;R$   ;        38;EA   ;          4054,75;          ;EA   ;        45;        16;        66;        66;J        ;70       ;E3       ;         ;                              ;         ;                          ;                            ;PAMALS    ;          ;          ;          ;3-Prazo de Entrega 60 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;                                 ;PINO DE AÇO, APLICADO ANTI-SHIMMY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;TPOBVDOSM ITEM ATENDE INSPEÇÕES E REVISÕES PTA 2021. E-MAIL 04/03/2021                                                                                                                                                                                                                                   ;    ;                              
"""38121000000785""";SPO060008GS   ;                  ;GS     ;DCN4-2122               ;DCN4-2122             ;002FK      ;ANEL DE RETENÇÃO                                                                                    ;        ;C  ;30;"""5325"""  ;"""190007057""";CAE          ;Material                    ;01/03/2021 10:55     ;Autorizado                         ;Validada                           ;01/03/2021 10:55;                                   ;                ;      0;   28;            10,96;R$   ;        30;EA   ;           328,80;            10,96;R$   ;        30;EA   ;           328,80;          ;EA   ;         0;         0;         0;         0;J        ;10       ;E3       ;         ;                              ;         ;                          ;                            ;PAMASP    ;          ;          ;          ;4-Prazo de Entrega 120 dias;          ;       ;         ;          ;                      ;              ;              ;       ;             ;                                 ;ANEL DE RETENÇÃO.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;ATD PTA.                                                                                                                                                                                                                                                                                                 ;    ;                              
"""30421000000431""";LSO061015T9   ;                  ;T9     ;DCN4-10379              ;DCN4-10379            ;002FK      ;SUBCONJUNTO SELETOR                                                                                 ;        ;C  ;30;"""2915"""  ;FA0694195      ;CAE          ;Material                    ;02/03/2021 16:53     ;Autorizado                         ;Validada                           ;02/03/2021 16:53;                                   ;                ;      0;   27;           576,72;R$   ;         2;EA   ;          1153,43;           576,72;R$   ;         2;EA   ;          1153,43;          ;EA   ;         0;         0;         0;        10;J        ;70       ;E3       ;         ;                              ;         ;                          ;                            ;PAMALS    ;          ;          ;          ;3-Prazo de Entrega 60 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;                                 ;SUBCONJUNTO SELETOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;TPOBVDOSM REQ INSERIDA A FIM DE ATD 2EA INV 304210060296 E 304210060301                                                                                                                                                                                                                                  ;    ;                              
"""30421000000430""";LSO061014T1   ;                  ;T1     ;DCN4-10245              ;DCN4-10245            ;002FK      ;SUBCONJUNTO DE VEDAÇÃO                                                                              ;        ;C  ;30;"""5330"""  ;FA0695011      ;CAE          ;Material                    ;02/03/2021 16:53     ;Autorizado                         ;Validada                           ;02/03/2021 16:53;                                   ;                ;      0;   27;           117,30;R$   ;        20;KT   ;          2346,00;           117,30;R$   ;        20;KT   ;          2346,00;          ;KT   ;         0;         0;         0;         0;J        ;70       ;E3       ;         ;                              ;         ;                          ;                            ;PAMALS    ;          ;          ;          ;2-Prazo de Entrega 15 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;                                 ;SUBCONJUNTO DE VEDAÇÃO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;TPOBBCA: ATENDE INV 304210060201, 304210060213, 304210060214, 304210060216, 304210060217, 304210060218, 304210060219, 304210060220, 304210060221, 304210060222, 304210060223, 304210060224, 304210060226 E 304210060228 DA OFC LC4 DO PAMALS                                                             ;    ;                              
"""30421000000428""";LSO061013SS   ;                  ;SS     ;DCN2-4120-3-10          ;DCN3-4120-3-10        ;002FK      ;PÁ                                                                                                  ;        ;C  ;30;"""5110"""  ;FA1020221      ;CAE          ;Material                    ;02/03/2021 16:51     ;Autorizado                         ;Validada                           ;02/03/2021 16:52;                                   ;                ;      0;   27;           121,44;R$   ;         5;EA   ;           607,19;           121,44;R$   ;         5;EA   ;           607,19;          ;EA   ;         0;         1;         0;         0;J        ;70       ;E3       ;         ;                              ;         ;                          ;                            ;PAMALS    ;          ;          ;          ;3-Prazo de Entrega 60 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;                                 ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;TPOBBCA: ATENDE PTA 2021 DO PROJ SS.                                                                                                                                                                                                                                                                     ;    ;                              
"""38121000000774""";SPO060003T9   ;                  ;T9     ;DCN3-10862              ;DCN3-10862            ;002FK      ;SOLENOIDE                                                                                           ;        ;C  ;30;"""5945"""  ;FA0996407      ;CAE          ;Material                    ;01/03/2021 10:55     ;Autorizado                         ;Validada                           ;01/03/2021 10:55;                                   ;                ;      0;   28;          1644,00;R$   ;         3;EA   ;          4932,00;          1644,00;R$   ;         3;EA   ;          4932,00;          ;EA   ;         0;         0;         0;         0;J        ;10       ;E3       ;         ;                              ;         ;                          ;                            ;PAMASP    ;          ;          ;          ;2-Prazo de Entrega 15 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;                                 ;SOLENOIDE.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;ATD INV TOFI (S4H). VALV SEL FLAPE                                                                                                                                                                                                                                                                       ;    ;                              
"""38121000000713""";SPO054005F5   ;                  ;F5     ;DCN3-3969               ;DCN3-3969             ;002FK      ;PARAFUSO MÁQUINA                                                                                    ;        ;C  ;30;"""5305"""  ;FA0698065      ;CAE          ;Material                    ;23/02/2021 11:40     ;Autorizado                         ;Validada                           ;23/02/2021 11:40;                                   ;                ;      0;   34;            36,39;R$   ;        90;EA   ;          3274,83;            36,39;R$   ;        90;EA   ;          3274,83;          ;EA   ;         0;         0;         0;         0;J        ;10       ;E3       ;         ;                              ;         ;                          ;                            ;PAMASP    ;          ;          ;          ;4-Prazo de Entrega 120 dias;          ;       ;         ;          ;                      ;              ;              ;       ;             ;                                 ;PARAFUSO MÁQUINA.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;ATD PTA.                                                                                                                                                                                                                                                                                                 ;    ;                              
"""38121000000663""";SPO050004GS   ;                  ;GS     ;DCN4-1362               ;DCN4-1362             ;002FK      ;ANEL                                                                                                ;        ;C  ;30;"""5331"""  ;"""190050789""";CAE          ;Material                    ;19/02/2021 15:37     ;Autorizado                         ;Validada                           ;19/02/2021 15:37;                                   ;                ;      0;   38;            30,00;R$   ;        60;EA   ;          1800,00;            30,00;R$   ;        60;EA   ;          1800,00;          ;EA   ;         0;         0;         0;         0;J        ;10       ;E3       ;         ;                              ;         ;                          ;                            ;PAMASP    ;          ;          ;          ;4-Prazo de Entrega 120 dias;          ;       ;         ;          ;                      ;              ;              ;       ;             ;                                 ;ANEL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;ATD PTA                                                                                                                                                                                                                                                                                                  ;    ;                              
